Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account
3/2/2022 10:11,CUB - online payment,Food,,Brownie,50,Expense,,50,INR,50
3/2/2022 10:11,CUB - online payment,Other,,To lended people,300,Expense,,300,INR,300
3/1/2022 19:50,CUB - online payment,Food,,Dinner,78,Expense,,78,INR,78
3/1/2022 18:56,CUB - online payment,Transportation,,Metro,30,Expense,,30,INR,30
3/1/2022 18:22,CUB - online payment,Food,,Snacks,67,Expense,,67,INR,67
3/1/2022 18:22,CUB - online payment,Other,,From vicky,100,Income,,100,INR,100
3/1/2022 18:21,CUB - online payment,Other,,From dad,500,Income,,500,INR,500
2/28/2022 11:56,CUB - online payment,Food,,Pizza,339.15,Expense,,339.15,INR,339.15
2/28/2022 11:45,CUB - online payment,Other,,From kumara,200,Income,,200,INR,200
2/27/2022 15:29,CUB - online payment,Food,,Lunch,243,Expense,,243,INR,243
2/26/2022 20:16,CUB - online payment,Food,,,25,Expense,,25,INR,25
2/26/2022 17:37,CUB - online payment,Other,,From dad,1500,Income,,1500,INR,1500
2/26/2022 17:37,CUB - online payment,Other,,To karthi,100,Expense,,100,INR,100
2/26/2022 16:01,CUB - online payment,Social Life,,,1700,Expense,,1700,INR,1700
2/26/2022 14:07,CUB - online payment,Food,,Snacks,40,Expense,,40,INR,40
2/26/2022 1:39,CUB - online payment,Food,,Tea lights,84,Expense,,84,INR,84
2/25/2022 12:08,CUB - online payment,Food,,,33,Expense,,33,INR,33
2/24/2022 22:32,CUB - online payment,Household,,,303,Expense,,303,INR,303
2/24/2022 22:21,CUB - online payment,Food,,Creamstone,289,Expense,,289,INR,289
2/24/2022 19:15,CUB - online payment,Food,,Tamen,324.7,Expense,,324.7,INR,324.7
2/23/2022 17:35,CUB - online payment,Apparel,,Hoodie for gobi,399,Expense,,399,INR,399
2/23/2022 16:06,CUB - online payment,Food,,Eggs,83,Expense,,83,INR,83
2/23/2022 12:38,CUB - online payment,Apparel,,Earphone,399,Expense,,399,INR,399
2/22/2022 6:33,CUB - online payment,Transportation,,Auto to laxmi mills,120,Expense,,120,INR,120
2/21/2022 22:15,CUB - online payment,Transportation,,It better be worth it,1300,Expense,,1300,INR,1300
2/21/2022 16:06,CUB - online payment,Transportation,,Travel to koyambedu,138,Expense,,138,INR,138
2/21/2022 15:40,CUB - online payment,Household,,Stuffs,336,Expense,,336,INR,336
2/21/2022 15:38,CUB - online payment,Transportation,,Train cbe to chn,201.8,Expense,,201.8,INR,201.8
2/20/2022 15:24,CUB - online payment,Food,,Lunch,200,Expense,,200,INR,200
2/19/2022 23:03,CUB - online payment,Food,,Random stuff for drinks,111,Expense,,111,INR,111
2/19/2022 21:57,CUB - online payment,Food,,Snacks,250,Expense,,250,INR,250
2/19/2022 21:35,CUB - online payment,Transportation,,Bus ticket,1575,Expense,,1575,INR,1575
