batter,runs,avg,strike_rate
V Kohli,6634,36.25136612021858,125.97797189517661
S Dhawan,6244,34.88268156424581,122.84084202242771
DA Warner,5883,41.429577464788736,136.40157662879665
RG Sharma,5881,30.314432989690722,126.96459412780656
SK Raina,5536,32.37426900584796,132.53531242518554
AB de Villiers,5181,39.853846153846156,148.58044164037855
CH Gayle,4997,39.65873015873016,142.1217292377702
MS Dhoni,4978,39.196850393700785,130.93108890057866
RV Uthappa,4954,27.522222222222222,126.15227909345556
KD Karthik,4377,26.85276073619632,129.26757235676314
G Gambhir,4217,31.00735294117647,119.66515323496027
AT Rayudu,4190,28.896551724137932,124.14814814814814
AM Rahane,4074,30.863636363636363,117.57575757575758
KL Rahul,3895,46.9277108433735,132.79918172519604
SR Watson,3880,30.793650793650794,134.1632088520055
MK Pandey,3657,29.73170731707317,117.73985833869929
SV Samson,3526,29.140495867768596,132.40705970709726
KA Pollard,3437,28.40495867768595,140.45770331017573
F du Plessis,3403,34.37373737373738,127.16741405082213
YK Pathan,3222,29.29090909090909,138.04627249357327
BB McCullum,2882,27.71153846153846,126.84859154929578
RR Pant,2851,34.76829268292683,142.55
PA Patel,2848,22.603174603174605,116.62571662571663
JC Buttler,2832,39.333333333333336,144.85933503836316
SS Iyer,2780,31.235955056179776,121.13289760348584
Q de Kock,2767,31.804597701149426,130.9512541410317
Yuvraj Singh,2754,24.81081081081081,124.78477571363842
V Sehwag,2728,27.555555555555557,148.82705946535734
SA Yadav,2644,29.707865168539325,134.0091231626964
M Vijay,2619,25.93069306930693,118.61413043478262
RA Jadeja,2502,26.617021276595743,122.10834553440704
SPD Smith,2495,34.65277777777778,124.81240620310155
SE Marsh,2489,39.507936507936506,130.10977522216413
DA Miller,2455,36.10294117647059,133.56909684439609
JH Kallis,2427,28.55294117647059,105.93627237014405
WP Saha,2427,25.28125,124.39774474628396
DR Smith,2385,28.392857142857142,132.27953410981698
MA Agarwal,2335,22.66990291262136,129.5063782584581
SR Tendulkar,2334,33.82608695652174,114.18786692759295
GJ Maxwell,2320,25.494505494505493,147.67663908338636
N Rana,2181,27.96153846153846,130.05366726296958
R Dravid,2174,28.233766233766232,113.34723670490095
KS Williamson,2105,36.293103448275865,123.31575864089046
AJ Finch,2092,24.904761904761905,123.34905660377358
AC Gilchrist,2069,27.223684210526315,133.05466237942122
AD Russell,2039,29.985294117647058,168.23432343234325
JP Duminy,2029,39.78431372549019,120.77380952380952
MEK Hussey,1977,38.76470588235294,119.96359223300972
HH Pandya,1972,29.87878787878788,140.2560455192034
Shubman Gill,1900,32.20338983050848,122.18649517684888
Ishan Kishan,1870,29.21875,129.50138504155123
DPMD Jayawardene,1808,28.25,118.7910643889619
RA Tripathi,1798,27.661538461538463,137.04268292682926
MK Tiwary,1695,28.728813559322035,113.83478844862324
Mandeep Singh,1692,21.417721518987342,120.68473609129815
KC Sangakkara,1687,25.953846153846154,118.4691011235955
PP Shaw,1588,25.206349206349206,143.58047016274864
DJ Bravo,1560,22.608695652173914,125.10024057738573
NV Ojha,1554,20.72,114.26470588235293
KK Nair,1496,23.746031746031747,125.503355704698
SS Tiwary,1494,28.73076923076923,115.72424477149497
S Badrinath,1441,30.659574468085108,115.74297188755021
EJG Morgan,1406,22.677419354838708,119.05165114309906
BJ Hodge,1400,33.333333333333336,121.42237640936686
SC Ganguly,1349,25.452830188679247,101.73453996983409
CA Lynn,1329,34.07692307692308,136.4476386036961
KH Pandya,1326,22.1,132.20338983050848
DJ Hussey,1322,26.979591836734695,120.07266121707538
JM Bairstow,1291,35.861111111111114,138.07486631016044
D Padikkal,1260,28.0,119.20529801324504
DJ Hooda,1237,20.278688524590162,127.52577319587628
RD Gaikwad,1207,37.71875,127.72486772486774
KM Jadhav,1196,22.14814814814815,119.36127744510978
TM Dilshan,1153,26.813953488372093,110.12416427889207
IK Pathan,1150,21.69811320754717,116.75126903553299
AR Patel,1135,19.23728813559322,123.5038084874864
ML Hayden,1107,35.70967741935484,131.94278903456495
LMP Simmons,1079,39.96296296296296,122.89293849658314
M Vohra,1073,22.354166666666668,125.93896713615023
MP Stoinis,1070,26.097560975609756,131.61131611316114
SP Narine,1025,14.855072463768115,154.36746987951807
LRPL Taylor,1017,25.425,120.07083825265643
KP Pietersen,1001,35.75,132.05804749340368
MC Henriques,1000,27.77777777777778,124.84394506866417
Y Venugopal Rao,985,22.386363636363637,113.87283236994219
JA Morkel,975,24.375,136.93820224719101
A Symonds,974,36.074074074074076,124.71190781049937
CL White,971,26.97222222222222,125.45219638242895
BA Stokes,920,25.555555555555557,130.86770981507823
N Pooran,912,24.64864864864865,144.76190476190476
MM Ali,910,23.333333333333332,139.57055214723925
HH Gibbs,886,27.6875,105.8542413381123
STR Binny,880,19.130434782608695,125.71428571428571
Harbhajan Singh,833,15.145454545454545,130.9748427672956
SO Hetmyer,831,30.77777777777778,144.0207972270364
MS Bisla,798,21.0,108.27679782903662
Shakib Al Hasan,795,19.390243902439025,119.54887218045114
ST Jayasuriya,768,27.428571428571427,134.03141361256544
GC Smith,739,28.423076923076923,106.9464544138929
R Tewatia,738,25.448275862068964,125.51020408163265
V Shankar,731,23.580645161290324,118.66883116883118
AD Mathews,724,23.35483870967742,120.86811352253757
S Dube,688,24.571428571428573,127.17190388170056
TL Suman,676,21.125,115.1618398637138
AM Nayar,672,17.68421052631579,114.28571428571428
Abhishek Sharma,667,23.821428571428573,130.52837573385517
GJ Bailey,663,24.555555555555557,120.1086956521739
E Lewis,654,27.25,131.06212424849699
R Ashwin,647,13.479166666666666,114.10934744268077
CH Morris,618,22.071428571428573,149.636803874092
JD Ryder,604,21.571428571428573,129.6137339055794
PP Chawla,584,11.68,107.55064456721914
HM Amla,577,44.38461538461539,138.03827751196172
